what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1302460401518
java.specification.name,sysinfo,,,"Java Platform API Specification",1302460401518
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1302460401518
java.specification.version,sysinfo,,,"1.6",1302460401518
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1302460401518
java.version,sysinfo,,,"1.6.0_20",1302460401518
java.vm.info,sysinfo,,,"mixed mode",1302460401518
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1302460401518
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1302460401518
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1302460401518
java.vm.specification.version,sysinfo,,,"1.0",1302460401518
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1302460401518
java.vm.version,sysinfo,,,"16.3-b01",1302460401518
started,bundle,org.eclipse.wst.ws.service.policy,1.0.103.v200905151848,"org.eclipse.wst.ws.service.policy",1302460406209
started,bundle,org.eclipse.wst.command.env,1.0.408.v200903110045,"org.eclipse.wst.command.env",1302460406237
started,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1302460406239
started,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1302460406297
started,bundle,org.eclipse.jst.j2ee.core,1.1.301.v200911302230,"org.eclipse.jst.j2ee.core",1302460406322
started,bundle,org.eclipse.jem,2.0.301.v201001252130,"org.eclipse.jem",1302460406362
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v200906151043,"org.eclipse.emf.ecore.xmi",1302460406400
started,bundle,org.eclipse.jst.jee,1.0.201.v201002021055,"org.eclipse.jst.jee",1302460406518
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.1.v200911141836,"org.eclipse.jst.common.project.facet.core",1302460406617
started,bundle,org.eclipse.jpt.core,2.2.1.v200908270220,"org.eclipse.jpt.core",1302460406620
started,bundle,org.eclipse.jpt.eclipselink.core,1.2.0.v200905310000,"org.eclipse.jpt.eclipselink.core",1302460406630
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1302460406689
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.301.v200908101600,"org.eclipse.wst.common.frameworks.ui",1302460406716
started,bundle,org.eclipse.wst.xml.core,1.1.402.v201001222130,"org.eclipse.wst.xml.core",1302460406718
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1302460406919
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v201001252130,"org.eclipse.wst.common.modulecore",1302460406926
started,bundle,org.eclipse.wst.validation,1.2.104.v200911120201,"org.eclipse.wst.validation",1302460406927
started,bundle,org.eclipse.jst.j2ee,1.1.301.v201001272230,"org.eclipse.jst.j2ee",1302460406927
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1302460406981
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1302460406983
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302460422210
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1302460452079
